GO:0032466	GO:0038095	GO:0008150,GO:0009987,GO:0044699,GO:0044763,GO:0050789,GO:0050794,GO:0065007,
GO:0032466	GO:0038096	GO:0008150,GO:0009987,GO:0044699,GO:0044763,GO:0050789,GO:0050794,GO:0065007,
GO:0032466	GO:0045087	GO:0008150,
GO:0032466	GO:0050776	GO:0008150,GO:0050789,GO:0065007,
GO:0000122	GO:0000122	GO:0000122,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0045892,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141,
GO:0000122	GO:0001890	GO:0008150,
GO:0000122	GO:0032877	GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0034641,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:1901360,GO:1901576,GO:2000112,
GO:0000122	GO:0045944	GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576,GO:1903506,GO:2000112,GO:2001141,
GO:0000122	GO:0002040	GO:0008150,
GO:0000122	GO:0006351	GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0018130,GO:0019438,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0071704,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576,
GO:0000122	GO:0060707	GO:0008150,GO:0009987,
GO:0000122	GO:0006956	GO:0008150,GO:0008152,GO:0043170,GO:0044238,GO:0050789,GO:0065007,GO:0071704,
GO:0000122	GO:0006958	GO:0008150,GO:0008152,GO:0043170,GO:0044238,GO:0050789,GO:0065007,GO:0071704,
GO:0000122	GO:0038095	GO:0008150,GO:0009987,GO:0050789,GO:0050794,GO:0065007,
GO:0000122	GO:0038096	GO:0008150,GO:0009987,GO:0050789,GO:0050794,GO:0065007,
GO:0000122	GO:0045087	GO:0008150,
GO:0000122	GO:0050776	GO:0008150,GO:0050789,GO:0065007,
GO:0001890	GO:0001890	GO:0000003,GO:0001890,GO:0003006,GO:0007275,GO:0008150,GO:0022414,GO:0032501,GO:0032502,GO:0044699,GO:0044702,GO:0044707,GO:0044767,GO:0048513,GO:0048608,GO:0048731,GO:0048856,GO:0061458,
GO:0001890	GO:0032877	GO:0008150,GO:0044699,
GO:0001890	GO:0045944	GO:0008150,
GO:0001890	GO:0002040	GO:0007275,GO:0008150,GO:0032501,GO:0032502,GO:0044699,GO:0044707,GO:0044767,GO:0048731,GO:0048856,
GO:0001890	GO:0006351	GO:0008150,
GO:0001890	GO:0060707	GO:0000003,GO:0001890,GO:0003006,GO:0007275,GO:0008150,GO:0022414,GO:0032501,GO:0032502,GO:0044699,GO:0044702,GO:0044707,GO:0044767,GO:0048513,GO:0048608,GO:0048731,GO:0048856,GO:0061458,
GO:0001890	GO:0006956	GO:0008150,
GO:0001890	GO:0006958	GO:0008150,
GO:0001890	GO:0038095	GO:0008150,GO:0044699,
GO:0001890	GO:0038096	GO:0008150,GO:0044699,
GO:0001890	GO:0045087	GO:0008150,
GO:0001890	GO:0050776	GO:0008150,
GO:0032877	GO:0032877	GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006275,GO:0006725,GO:0006807,GO:0007049,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010556,GO:0010557,GO:0010564,GO:0010604,GO:0019219,GO:0019222,GO:0022402,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032875,GO:0032877,GO:0034641,GO:0034645,GO:0042023,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044699,GO:0044763,GO:0044786,GO:0045740,GO:0045787,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051052,GO:0051054,GO:0051171,GO:0051173,GO:0051726,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090068,GO:0090304,GO:0090329,GO:1901360,GO:1901576,GO:2000105,GO:2000112,
